text_hash,semantic_seat_level,semantic_row_position,semantic_winning_route,semantic_name_status,semantic_identity_check,semantic_distribution_type,semantic_visibility,semantic_is_fc_early,semantic_is_random,semantic_source,semantic_schema_version
000818d0d270b1bd3af5592d67ca3714404e6642d5350c4db78c070d7f26eff5,不明,不明,不明,不明,不明,不明,不明,1,0,qwen15_reused,target_free_semantic_v1
00095f43868a90eaff19fba8a1d79cbaded7593521182a4899b3c5861f7c5846,不明,中列,不明,男性名義,確認なし,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
000db4fb0e918d047b0517e16630f0ca9d7c2b627a6ca98a8c5364999ba2594b,バルコニー,後方,不明,女性名義,確認なし,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
001871c4932447670051b4ece99b51269cae833018bdc1cfd81da7da92a8a3ad,バルコニー,後方,復活,他人名義,確認なし,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
0018cbb4d7d648b1bd33dade38caf98386e08a17c402900cae60a8a0cfaad0aa,不明,不明,不明,不明,不明,不明,通常,0,0,qwen15_reused,target_free_semantic_v1
001ac09468a5ba549c49210f16efa21a97d6108040f75becf76f2838a8007e77,バルコニー,不明,一般,不明,確認なし,単独,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
00306af65fa189a1232773dc7f6185219528461f52f13e48bb0cc85e57157174,立見,不明,FC初期,不明,不明,不明,不明,0,0,qwen_semantic_compact,target_free_semantic_v1
0034090a54315b6105be217f823eec684390229399a34eaab71a6875d53aa79b,不明,不明,不明,不明,不明,不明,不明,0,0,qwen_semantic_compact,target_free_semantic_v1
003cc086616b804d46396ffec5f8cc7336bc41d4ef62cd36fd3004f3a407fa66,不明,不明,不明,不明,不明,不明,不明,0,0,qwen_semantic_compact,target_free_semantic_v1
0062eac0d0dd85276a2d4dff12cc4812f63c9ab6b5126e1ef252bb450520c6d5,バルコニー,中列,不明,他人名義,不明,単独,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
0075001501841106d3e5e001dabfde9d4d61b03def375e3965162822db5484a5,不明,不明,FC初期,他人名義,不明,番手選択,不明,1,0,qwen15_reused,target_free_semantic_v1
007d283a282f029c3cc1383988a471598c269f4a12a73fc9b1dfb26303e7f907,スタンド,中列,FC初期,不明,確認あり,不明,不明,1,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
0089c2ba333830e0886c7885143a5fe01bc8deb7ca7cb9fea09384823647d566,不明,不明,不明,不明,不明,不明,不明,1,0,qwen15_reused,target_free_semantic_v1
00951aa6bf75c62b31ff53d325d3aae6d3c809d275c426b455bb0b4e08026a97,不明,不明,不明,不明,不明,不明,不明,0,0,qwen_semantic_compact,target_free_semantic_v1
00b520703c8dc51bb639c3732f08e54d36da142773ceba0b2db864926dd41614,アリーナ,不明,制作開放,他人名義,確認なし,不明,見切れ,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
00babc552dabae9d7d3ab933710f9aef32e0275c43210f479ece31a2ebc846cc,不明,不明,不明,不明,不明,不明,不明,0,0,qwen_semantic_compact,target_free_semantic_v1
00be27b809265e00c415955656511ed015a72827bdd1455c964d258049f7923f,不明,不明,不明,不明,確認あり,同行,不明,0,0,qwen15_reused,target_free_semantic_v1
00c024e0002357a6c1e915f0458940518cbfee0e97ab50a09c1a8fde26239825,バルコニー,不明,FC初期,女性名義,不明,不明,不明,1,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
00c372bf1daef2f6e4b8459fbf55d007bce850a18c3e9bbc911fd521e86f5aa8,不明,不明,FC初期,他人名義,不明,不明,通常,0,0,qwen15_reused,target_free_semantic_v1
00cbafb9567294caae3e73cd4a4dd832b0663c6b087cd602b6e41255d9636afd,不明,不明,不明,不明,不明,不明,不明,0,0,qwen_semantic_compact,target_free_semantic_v1
00d01d03f9a3f15f04cb79033ea9834e03a45d693ee9ec42e1b02cd994edbd0b,不明,不明,不明,他人名義,確認あり,同行,通常,1,0,qwen15_reused,target_free_semantic_v1
0103930c0e7a7ebb2f2a41905e5f6db320e1d4d132445d874d8cf5bd6010317a,スタンド,中列,復活,本人名義,確認なし,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
010d6854c843d098c302dc618592edcad3dfb199e5ae949e500b22c66fe5262f,不明,不明,不明,不明,不明,不明,不明,0,0,qwen_semantic_compact,target_free_semantic_v1
010d8d1e1748c6172bfe8bb49723956716d08791d3c6c2e6e97ccd744fe66e08,不明,不明,不明,他人名義,不明,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
0112ae832b36ca300887390c205df6ad7cd9f542ce0e52a5bcf6765afffbddc8,アリーナ,不明,復活,他人名義,確認なし,同行,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
012d06726f901c9a0da93b4da0150b572da8a98aad12ef7daef0ad1b921c814d,不明,前方,制作開放,女性名義,対応不可,不明,通常,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
013ae506b541a114c20fb43f65e7ab2387b09f1fd996dbc8cefb8ba163e75db3,不明,不明,不明,不明,不明,ランダム,不明,0,1,qwen15_reused,target_free_semantic_v1
013cde4193b8218d8980d3b5cab4c48d25306932fd3f6e8360f80f5aad27cf67,不明,不明,不明,不明,不明,不明,不明,0,1,qwen_semantic_compact,target_free_semantic_v1
0147a82b9fc696fa40c75b7707dd01bef06e92866e0440e3d0ef2d84b16e1952,不明,不明,不明,他人名義,不明,単独,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
014d539be08f1f5be55454cdfd494f1c259b32c7381b3baf9f4d59dd7a01ad37,不明,不明,不明,不明,不明,番手選択,不明,1,0,qwen15_reused,target_free_semantic_v1
0151f5a47a2f93faab8a50b0ac1283bbb9f87bd1e883399bdc038700bcc6e753,不明,不明,不明,名義変更可,確認なし,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
015954c55369345006f7f90eac4c7e94cb1a02110336e7ad16ed212ff4deff3d,不明,不明,不明,不明,不明,QR譲渡,通常,0,0,qwen15_reused,target_free_semantic_v1
016bb907cec43a1c85343f1cd90e0cbf3bc160667bfed539025f8313b9e32630,不明,不明,FC初期,不明,不明,QR譲渡,不明,0,0,qwen15_reused,target_free_semantic_v1
017ed149728262546555e0f06e4eff8c785fef1b27692f7636d33993afb54539,不明,不明,不明,不明,不明,同行,通常,0,0,qwen15_reused,target_free_semantic_v1
01851c7de2f727103fc763f408cddd29aedb042af8d92d7384cd35ae838064ca,不明,不明,不明,名義変更可,対応可,同行,不明,1,0,qwen15_reused,target_free_semantic_v1
019321627f716505deabe07d5165c488979e9a9a6d4d7711e207718d18b70d9b,不明,不明,不明,不明,不明,ランダム,不明,1,0,qwen15_reused,target_free_semantic_v1
01a522539aeb855cb5aeb260a2f65e173a87afbf4adc6ed94616befd7aaa1602,不明,不明,復活,女性名義,不明,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
01bafd3fd79dd85f2d2c090761a04e71278d63774c9e158f8d33fb4ab68a0b1c,アリーナ,最前,不明,不明,不明,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
01c55af47da6a4a988b0c838cd3b5e268b65ca3c7bd23bb2cb17e1e1387d411e,アリーナ,不明,FC初期,他人名義,確認あり,QR譲渡,通常,1,0,qwen15_reused,target_free_semantic_v1
01d574cf26dfcf23af17fe79558113aa04d49b406a913ae13df09e78e3160b3e,不明,不明,不明,不明,対応不可,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
01dd217d674e3b586a94b9aa0238e101d60f79e631732088f415a0eb7a2f3761,不明,後方,不明,他人名義,不明,単独,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
01e3e4a056f5630a10bffb0ddbd3e4ba42ae4473c10f395847179061e3271297,不明,不明,不明,名義変更可,不明,QR譲渡,不明,1,0,qwen15_reused,target_free_semantic_v1
01f3d540a8acc7be4547bc2ede5aa09869c2edb5210078e05c72b83b37ae2003,スタンド,中列,不明,女性名義,不明,単独,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
020303c96c2954d39caf84b80708044487159f9784157fa766ca833300c44b1f,スタンド,中列,FC初期,不明,確認あり,同行,不明,1,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
021dd3f93e3181ad416748648241ffd792ef02f3e1f431f7a52bcb88b9541ea7,不明,不明,不明,男性名義,確認なし,ランダム,不明,0,0,qwen15_reused,target_free_semantic_v1
022b0fbc17028fc24ca9725b6aa723215d0253de7b0d3cbcb622f490c76c8988,不明,不明,不明,不明,不明,ランダム,不明,0,1,qwen15_reused,target_free_semantic_v1
0237244cfb45de369fa44290d59f209af7943299e2fde79e0a53cf2f177f3774,不明,不明,不明,本人名義,確認あり,不明,不明,1,0,qwen15_reused,target_free_semantic_v1
0242a8f0b20dcc695a8907571ee2a303d757ec314da4ebb212651413e83114e4,不明,不明,FC初期,男性名義,確認なし,不明,不明,1,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
024875c7e5ae8baa528f89d067c14e9bdfb19bd0689031d52bb3e75cec764ffd,不明,不明,FC初期,不明,不明,同行,不明,0,0,qwen15_reused,target_free_semantic_v1
024cfccb72896e3f98ad751a0e918f95fd79810bd730fe2fd8ed9a49031906fc,不明,不明,不明,不明,不明,不明,不明,0,0,qwen_semantic_compact,target_free_semantic_v1
026baf60c302f1112252008dc0c072e5d5871c631eaf5e5f7207c8b589f79475,スタンド,中列,復活,名義変更可,確認なし,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
027c783246dd2400adb2caacc669bb7538e7361984ef71bd274dfc4fde4528ca,バルコニー,後方,不明,名義変更可,不明,単独,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
02890e66272b498827582b1957a8015e359975173455931884202786f0c8bfb1,不明,前方,FC初期,本人名義,不明,同行,不明,1,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
02891a7a99be3ec48b688e368b46e158bc3589cbe4564e1c373ed9af268782cc,スタンド,中列,復活,不明,確認なし,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
028b26dca48e5f10bec5ee80065eb6afc16a9dbf2cd5e780c2d6d16a9ec82976,不明,不明,不明,不明,不明,番手選択,不明,0,0,qwen15_reused,target_free_semantic_v1
0296741323739716a617f7af5b4f6f27244923d1288b144451328fe44d49073c,バルコニー,不明,FC初期,不明,不明,不明,見切れ,1,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
02ad7d328a2b82ebe4abce541b35827d5a154d0fa8b9f633c11fa3a28dfd05c0,アリーナ,不明,不明,他人名義,不明,不明,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
02c48616a883dcbb35e9fbdc01e9c8bd492f7e15d9295a79802a71ab4d64b7ca,不明,不明,不明,名義変更可,不明,ランダム,不明,1,0,qwen15_reused,target_free_semantic_v1
02d49303ebf19d6be24daf600f2646f27a1b5bbd94f96081b4f707d3219bd532,バルコニー,不明,一般,不明,対応可,同行,不明,0,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
02d604d6889d615ed588a370b33149772d606149f9d98dd3dd572cbbc9d4051f,不明,不明,FC初期,本人名義,不明,不明,通常,1,1,qwen_semantic,target_free_semantic_v1
02d874cdd87395264649aeab6660765d8837e6f97a6d715cc1fc034d95421bfe,バルコニー,中列,FC初期,不明,確認あり,不明,不明,1,0,qwen_semantic_compact_recovered8,target_free_semantic_v1
